"Lon","Lat","Z"
-117.778053390593,31.148,0
-115.441446609407,31.148,0
-113.8915,32.6979466094067,0
-113.8915,35.1150533905933,0
-119.828446609407,41.052,0
-124.251553390593,41.052,0
-124.602,40.7015533905933,0
-124.602,37.9719466094067,0
-116.859973304703,38.0835266952966,0
-121.190026695297,34.5599733047034,0
-119.484040042945,32.8539866523517,0
-115.375736652352,36.599290042945,0
-122.896013347648,36.2659599570551,0
-114.666473304703,31.9229733047034,0
-113.8915,33.9065,0
-118.344209957055,39.5677633476483,0
-116.117854978528,37.3414083691208,0
-122.04,41.052,0
-122.043020021473,35.4129666308792,0
-124.602,39.33675,0
-123.145776695297,41.052,0
-118.631046716769,32.0009933261759,0
-113.8915,34.5107766952967,0
-120.337033369121,33.7069799785275,0
-124.602,40.0191516952966,0
-123.749006673824,37.1189532832309,0
-116.60975,31.148,0
-123.698665042945,41.052,0
-119.910536706033,33.2804833154396,0
-115.74679581544,36.9703492060329,0
-116.025598304703,31.148,0
-114.633618326176,35.8571717167691,0
-120.763530032209,34.1334766416155,0
-124.602,40.360352542945,0
-119.086328283231,40.3098816738242,0
-119.697288374489,33.0672349838957,0
-115.733522457055,31.148,0
-113.8915,34.2086383476483,0
-115.053959957055,31.5354866523517,0
-115.932325396984,37.1558787875769,0
-117.602091630879,38.8256450214725,0
-124.426776695297,40.8767766952966,0
-113.8915,33.3022233047034,0
-120.934223304703,41.052,0
-124.175503336912,37.5454499463188,0
-122.46951668456,35.8394632939671,0
-114.278986652352,32.3104599570551,0
-114.472729978528,32.1167166308792,0
-123.322510010736,36.692456620143,0
-116.488914141615,37.7124675322087,0
-124.602,39.6779508476483,0
-121.616523358385,34.9864699677913,0
-121.403275026841,34.7732216362473,0
-124.602,38.6543483047034,0
-117.193901695297,31.148,0
-118.204550053681,31.5744966630879,0
-119.057543379857,32.4274899892638,0
-117.231032467791,38.4545858583846,0
-122.592888347648,41.052,0
-120.381334957055,41.052,0
-121.487111652352,41.052,0
-114.262559163088,35.4861125536812,0
-119.457387446319,40.6809408369121,0
-118.715269120143,39.9388225107362,0
-115.004677489264,36.2282308798571,0
-117.973150793967,39.1967041845604,0
-113.8915,33.0000849570551,0
-113.8915,33.6043616523517,0
-120.104890783231,41.052,0
-123.962255005368,37.3322016147749,0
-122.869332521473,41.052,0
-124.602,38.3131474570551,0
-117.045502886247,38.2690562768406,0
-124.602,38.9955491523517,0
-117.991301722137,31.361248331544,0
-120.657779130879,41.052,0
-116.317674152352,31.148,0
-123.53575834228,36.9057049516869,0
-114.085243326176,32.5042032832309,0
-114.81914790772,36.0427012983131,0
-113.8915,34.812915042945,0
-122.256268353016,35.6262149624232,0
-118.417798385225,31.7877449946319,0
-120.976778363753,34.3467249731594,0
-118.844295048313,32.2142416577198,0
-120.123785037577,33.4937316469836,0
-121.829771689929,35.1997182993353,0
-119.270791711401,32.6407383208077,0
