"","V1"
"574",9371
"575",1165
"576",1019
"577",272
"578",8202
"579",1064
"580",1174
"581",2359
"582",1718
"583",11332
"584",1248
"585",1024
"586",46
"587",1519
"588",6335
"589",1842
"590",494
"591",492
"592",1146
"593",46
"594",1578
"595",340
"596",1157
"597",1545
"598",9010
"599",1113
"600",1028
"601",1374
"602",1066
"603",1220
"604",988
"605",841
"606",1527
"607",1021
"608",1032
"609",9382
"610",1290
"611",711
"612",1237
"613",1108
"614",6
"615",1242
"616",1355
"617",1508
"618",1039
"619",845
"620",394
"621",2237
"622",1146
"623",1438
"624",1262
"625",1263
"626",1402
"627",1522
"628",1021
"629",1282
"630",1281
"631",1444
"632",4024
"633",1504
"634",1755
"635",1693
"636",993
"637",1730
"638",1556
"639",2368
"640",1532
"641",994
"642",2335
"643",559
"644",593
"645",574
"646",1100
"647",2486
"648",370
"649",1306
"650",704
"651",965
"652",1037
"653",50
"654",945
"655",885
"656",1329
"657",1350
"658",1335
"659",1038
"660",1337
"661",8808
"662",866
"663",1340
"664",1319
"665",1323
"666",957
"667",1341
"668",971
"669",1353
"670",1191
"671",873
"672",12164
"673",32
"674",1424
"675",1256
"676",1616
"677",1102
"678",3033
"679",1851
"680",1467
"681",1126
"682",1192
"683",722
"684",5569
"685",2970
"686",334
"687",945
"688",1246
"689",8027
"690",1394
"691",845
"692",1041
"693",1252
"694",304
"695",1397
"696",1406
"697",6054
"698",1974
"699",3037
"700",2920
"701",1392
"702",1392
"703",1413
"704",1365
"705",384
"706",2478
"707",374
"708",1072
"709",1640
"710",8476
"711",1314
"712",4584
"713",1649
"714",1604
"715",1466
"716",1215
"717",1448
"718",1031
"719",2348
"720",1454
"721",1454
"722",988
"723",1201
"724",1822
"725",236
"726",1275
"727",1468
"728",1450
"729",1485
"730",978
"731",1928
"732",1206
"733",879
"734",1754
"735",1205
"736",2032
"737",1275
"738",1494
"739",975
"740",2384
"741",1496
"742",1181
"743",992
"744",1181
"745",1075
"746",994
"747",1279
"748",1241
"749",995
"750",1270
"751",1280
"752",812
"753",1045
"754",833
"755",1123
"756",1269
"757",1527
"758",1530
"759",1296
"760",1513
"761",990
"762",6
"763",1241
"764",1248
"765",1182
"766",833
"767",1268
"768",1500
"769",1513
"770",1500
"771",1287
"772",2164
"773",1078
"774",1562
"775",1512
"776",2465
"777",1495
"778",999
"779",1549
"780",1539
"781",1496
"782",1227
"783",1522
"784",1274
"785",1540
"786",1280
"787",995
"788",833
"789",1283
"790",1684
"791",1246
"792",1596
"793",1431
"794",1098
"795",1645
"796",711
"797",1020
"798",5357
"799",1099
"800",1610
"801",1421
"802",1440
"803",416
"804",1366
"805",1630
"806",1362
"807",1882
"808",520
"809",2219
"810",1634
"811",1129
"812",1141
"813",1656
"814",1624
"815",1142
"816",2228
"817",1366
"818",1619
"819",1423
"820",1616
"821",1601
"822",12200
"823",2656
"824",4096
"825",4018
"826",1815
"827",6794
"828",1528
"829",2191
"830",994
"831",4173
"832",1715
"833",6789
"834",1054
"835",1144
"836",2144
"837",2200
"838",1004
"839",5599
"840",1298
"841",1695
"842",1698
"843",1042
"844",1238
"845",1705
"846",2100
"847",1708
"848",1769
"849",1712
"850",1125
"851",1590
"852",1135
"853",1133
"854",2352
"855",1298
"856",1207
"857",1546
"858",1581
"859",1708
"860",1535
"861",2685
"862",2344
"863",1143
"864",5099
"865",999
"866",1207
"867",1748
"868",3007
"869",1174
"870",1157
"871",2167
"872",8777
"873",817
"874",268
"875",1520
"876",1722
"877",1505
"878",1564
"879",2813
"880",1699
"881",4344
"882",226
"883",3119
"884",4164
"885",1081
"886",1004
"887",1595
"888",2025
"889",1023
"890",3107
"891",1483
"892",1798
"893",1033
"894",1801
"895",2490
"896",2308
"897",1808
"898",1810
"899",1811
"900",1459
"901",1816
"902",1131
"903",1276
"904",1792
"905",1829
"906",1826
"907",1052
"908",1830
"909",991
"910",1178
"911",3420
"912",3100
"913",2114
"914",979
"915",9644
"916",1171
"917",1172
"918",1478
"919",1443
"920",1853
"921",1171
"922",2105
"923",991
"924",1475
"925",1180
"926",1866
"927",1846
"928",1870
"929",1446
"930",1475
"931",1793
"932",112
"933",1333
"934",6129
"935",1631
"936",1421
"937",1631
"938",1632
"939",2221
"940",1203
"941",1084
"942",948
"943",1444
"944",1906
"945",562
"946",596
"947",1910
"948",1901
"949",5706
"950",1054
"951",1503
"952",1225
"953",1084
"954",1514
"955",1076
"956",1182
"957",1201
"958",1497
"959",2308
"960",1093
"961",1278
"962",1169
"963",1258
"964",1272
"965",3197
"966",2323
"967",2360
"968",2992
"969",1410
"970",9855
"971",997
"972",2498
"973",963
"974",1948
"975",1146
"976",1966
"977",1407
"978",845
"979",2422
"980",1060
"981",1400
"982",6751
"983",2939
"984",3707
"985",1322
"986",2002
"987",42
"988",1999
"989",1357
"990",2126
"991",1984
"992",36
"993",1994
"994",4420
"995",4516
"996",1210
"997",1842
"998",2010
"999",2015
"1000",2013
"1001",1036
"1002",2098
"1003",1036
"1004",1465
"1005",10950
"1006",1789
"1007",1450
"1008",897
"1009",2044
"1010",1487
"1011",6103
"1012",2020
"1013",1294
"1014",2041
"1015",1149
"1016",6234
"1017",1247
"1018",1830
"1019",3324
"1020",1221
"1021",1459
"1022",1895
"1023",1483
"1024",1052
"1025",8080
"1026",1372
"1027",4924
"1028",1376
"1029",1472
"1030",1857
"1031",1444
"1032",2019
"1033",1189
"1034",5269
"1035",1230
"1036",1895
"1037",1158
"1038",1128
"1039",1212
"1040",1869
"1041",1451
"1042",2080
"1043",1713
"1044",16221
"1045",2104
"1046",1691
"1047",1239
"1048",426
"1049",430
"1050",430
"1051",430
"1052",1279
"1053",1769
"1054",1219
"1055",978
"1056",12853
"1057",2498
"1058",985
"1059",2007
"1060",2038
"1061",1598
"1062",2020
"1063",2053
"1064",1378
"1065",1462
"1066",861
"1067",812
"1068",992
"1069",1729
"1070",1919
"1071",6771
"1072",1061
"1073",861
"1074",1289
"1075",1557
"1076",1327
"1077",2349
"1078",2504
"1079",3359
"1080",212
"1081",2175
"1082",2716
"1083",2985
"1084",2099
"1085",990
"1086",2186
"1087",2161
"1088",3810
"1089",2192
"1090",3323
"1091",8367
"1092",1205
"1093",1675
"1094",2693
"1095",2445
"1096",5552
"1097",1707
"1098",2998
"1099",1288
"1100",1321
"1101",817
"1102",1639
"1103",1886
"1104",1884
"1105",1034
"1106",340
"1107",378
"1108",2266
"1109",1639
"1110",2234
"1111",1619
"1112",378
"1113",1654
"1114",1806
"1115",1101
"1116",12573
"1117",1087
"1118",1091
"1119",1608
"1120",1094
"1121",1194
"1122",1800
"1123",1660
"1124",2482
"1125",1316
"1126",1615
"1127",1648
"1128",1071
"1129",1648
"1130",494
"1131",2230
"1132",354
"1133",2279
"1134",2267
"1135",12813
"1136",1253
"1137",4228
"1138",2290
"1139",1117
"1140",2318
"1141",1812
"1142",2297
"1143",2331
"1144",1931
"1145",1093
"1146",2241
"1147",1805
"1148",1033
"1149",2291
"1150",1010
"1151",1630
"1152",1010
"1153",12183
"1154",969
"1155",3251
"1156",1118
"1157",3204
"1158",4563
"1159",2300
"1160",1257
"1161",1050
"1162",1278
"1163",1511
"1164",2504
"1165",1750
"1166",2346
"1167",2457
"1168",1941
"1169",4274
"1170",2015
"1171",2447
"1172",1955
"1173",2390
"1174",2362
"1175",1825
"1176",3693
"1177",1213
"1178",998
"1179",1517
"1180",2363
"1181",1106
"1182",2943
"1183",2470
